States,Districts,Hypertension  (age 18 years and above) (%) - Above Normal Range (Systolic >140 mm of Hg & Diastolic >90 mm of Hg ),Hypertension  (age 18 years and above) (%) - Moderately High (Systolic >160 mm of Hg & Diastolic >100 mm of Hg ),Hypertension  (age 18 years and above) (%) - Very High (Systolic >180 mm of Hg & Diastolic >110 mm of Hg )
Andaman and Nicobar Islands,Total,30.8,12.7,5.6
Andaman and Nicobar Islands,North & Middle Andamans,30.8,9.3,4.2
Andaman and Nicobar Islands,South Andaman,24.7,11.2,4.4
Andaman and Nicobar Islands,Nicobars,44.7,19.9,9.3
Andhra Pradesh,Total,23.4,9,3.5
Andhra Pradesh,Srikakulam,32.4,14.5,6
Andhra Pradesh,Vizianagaram,20.6,8.2,3.5
Andhra Pradesh,Visakhapatnam,22.9,8.5,3.4
Andhra Pradesh,East Godavari,21,7.9,2.7
Andhra Pradesh,West Godavari,27.3,10.9,4.1
Andhra Pradesh,Krishna,17,5.3,1.8
Andhra Pradesh,Guntur,19.1,5.8,2.3
Andhra Pradesh,Prakasam,28.9,12.1,5
Andhra Pradesh,Nellore,23.1,9.3,3.5
Andhra Pradesh,Cuddapah,28.5,11.5,4.7
Andhra Pradesh,Kurnool,24.7,10.2,4.1
Andhra Pradesh,Anantapur,22.8,8.2,3.3
Andhra Pradesh,Chittoor,24.3,9.6,3.7
Arunachal Pradesh,Total,23.8,7.3,2.8
Arunachal Pradesh,Tawang,39.3,15.7,6.6
Arunachal Pradesh,West Kameng,30.2,10.1,4
Arunachal Pradesh,East Kameng,24.3,6,2
Arunachal Pradesh,Papumpare,24.2,6.9,2
Arunachal Pradesh,Lower Subansiri,28.8,9,3.1
Arunachal Pradesh,Upper Subansiri,14.4,4,1.7
Arunachal Pradesh,West Siang,27,8.4,3.1
Arunachal Pradesh,East Siang,16.9,4.4,1.6
Arunachal Pradesh,Upper Siang,17.7,6.3,2.7
Arunachal Pradesh,Dibang Valley,22.8,5.8,2.7
Arunachal Pradesh,Lohit,16.1,4.3,1.6
Arunachal Pradesh,Changlang,19.9,7.6,2.9
Arunachal Pradesh,Tirap,16.8,5.3,2.2
Arunachal Pradesh,Kurung Kumey,23.1,5.3,2.3
Arunachal Pradesh,Lower Dibang Valley,26.9,10.2,4.2
Arunachal Pradesh,Anjaw,29.9,6.8,2
Chandigarh,Total,31.4,6,1.8
Goa,Total,26.4,8.3,2.6
Goa,North Goa,24.6,8.4,2.7
Goa,South Goa,29.7,8.1,2.4
Haryana,Total,24.5,6.8,2.4
Haryana,Panchukala,21,9,3.6
Haryana,Ambala ,20.8,8.8,3.8
Haryana,Yamunanagar,15.4,7.1,2.5
Haryana,Kuruksherta,13.1,3.7,1.1
Haryana,kaithal,17.9,9,3.5
Haryana,Karnal,11.9,3.6,1.5
Haryana,Panipat,9.8,3.5,1.4
Haryana,Sonipat,14.4,5.6,1.8
Haryana,Jind,19.3,8.8,2.7
Haryana,Fatehabad,9.9,5.9,2
Haryana,Sirsa,11.3,6.3,2.6
Haryana,Hisar,10.1,6.3,2.2
Haryana,Bhiwani,14.8,9.6,3.6
Haryana,Rohtak,17.1,6.6,1.8
Haryana,Jhajjar,14.9,7.7,2.9
Haryana,Mahendragarh,18.9,11.8,4.4
Haryana,Rewari,12.9,5.5,1.4
Haryana,Gurgaon,18.1,7.2,2.1
Haryana,Faridabad,18.8,10.3,3
Haryana,Mewat,10.7,4.8,1.3
Haryana,Palwal,8.3,4.8,1.9
Himachal Pradesh,Total,33.8,12.3,5.5
Himachal Pradesh,Chamba,33,16.2,9
Himachal Pradesh,Kangra,37.9,16.1,6.7
Himachal Pradesh,Lahul & Spiti,35.9,14.7,6.8
Himachal Pradesh,Kullu,27.6,6.8,2.9
Himachal Pradesh,Mandi,30.2,8.4,2.8
Himachal Pradesh,Hamirpur,30.2,8.4,2.8
Himachal Pradesh,Una,38.2,15.3,7.2
Himachal Pradesh,Bilaspur,28.9,11.1,5.8
Himachal Pradesh,Solan,34.8,10.6,4.3
Himachal Pradesh,Sirmaur,28.6,9.9,3.4
Himachal Pradesh,Shimla,34.3,12.3,5.6
Himachal Pradesh,Kinnaur,37.9,16.7,8.6
Karnataka,Total,23.5,8.4,3.1
Karnataka,Belgaum,24.9,8,2.5
Karnataka,Bagalkot,20.9,7.4,3
Karnataka,Bijapur,26.1,8.3,2.9
Karnataka,Gulbarga,20.3,6.5,2.7
Karnataka,Bidar,23.6,8.2,3.1
Karnataka,Raichur,20.7,8.5,3
Karnataka,Koppal,23,8.7,3.4
Karnataka,Gadag,24.2,9.6,3.1
Karnataka,Dharwad,19.5,7.4,2.3
Karnataka,Uttara kannada,22.4,7.7,2.2
Karnataka,Haveri,20.8,7.4,2.5
Karnataka,Bellary,23.8,9.4,3.5
Karnataka,Chitradurga,26.6,9.5,3.9
Karnataka,Devangere,25,9.9,3.9
Karnataka,Shimoga,24.8,9.4,3.8
Karnataka,Udupi,29.1,10.6,4
Karnataka,Chickmanglur,25.1,9.6,3.4
Karnataka,Tumkur,26.9,9.1,3.5
